doy,p10,p25,p50,p75,p90,n
332,0.4675,0.4675,0.4675,0.4675,0.4675,1
333,0.4697,0.4697,0.4697,0.4697,0.4697,1
334,0.4721,0.4721,0.4721,0.4721,0.4721,1
335,0.4748,0.4748,0.4748,0.4748,0.4748,1
336,0.4777,0.4777,0.4777,0.4777,0.4777,1
337,0.4809,0.4809,0.4809,0.4809,0.4809,1
338,0.4841,0.4841,0.4841,0.4841,0.4841,1
339,0.4871,0.4871,0.4871,0.4871,0.4871,1
340,0.4898,0.4898,0.4898,0.4898,0.4898,1
341,0.4922,0.4922,0.4922,0.4922,0.4922,1
342,0.4945,0.4945,0.4945,0.4945,0.4945,1
343,0.4964,0.4964,0.4964,0.4964,0.4964,1
344,0.4982,0.4982,0.4982,0.4982,0.4982,1
345,0.4997,0.4997,0.4997,0.4997,0.4997,1
346,0.5009,0.5009,0.5009,0.5009,0.5009,1
347,0.5019,0.5019,0.5019,0.5019,0.5019,1
348,0.5027,0.5027,0.5027,0.5027,0.5027,1
349,0.5032,0.5032,0.5032,0.5032,0.5032,1
350,0.5035,0.5035,0.5035,0.5035,0.5035,1
351,0.5035,0.5035,0.5035,0.5035,0.5035,1
352,0.5033,0.5033,0.5033,0.5033,0.5033,1
353,0.5028,0.5028,0.5028,0.5028,0.5028,1
354,0.5024,0.5024,0.5024,0.5024,0.5024,1
355,0.5019,0.5019,0.5019,0.5019,0.5019,1
356,0.5013,0.5013,0.5013,0.5013,0.5013,1
357,0.5007,0.5007,0.5007,0.5007,0.5007,1
358,0.5001,0.5001,0.5001,0.5001,0.5001,1
359,0.4994,0.4994,0.4994,0.4994,0.4994,1
360,0.4945,0.4945,0.4945,0.4945,0.4945,1
361,0.4896,0.4896,0.4896,0.4896,0.4896,1
362,0.4847,0.4847,0.4847,0.4847,0.4847,1
363,0.4799,0.4799,0.4799,0.4799,0.4799,1
364,0.4751,0.4751,0.4751,0.4751,0.4751,1
365,0.4703,0.4703,0.4703,0.4703,0.4703,1
366,0.4656,0.4656,0.4656,0.4656,0.4656,1
