date,ndvi_mean,ndmi_mean,ndre_mean,evi_mean,gndvi_mean,msi_mean
2025-01-05,0.5039,0.1749,0.3239,1.9281,0.4637,0.7330
2025-01-13,0.2340,0.1348,0.1654,-0.9197,0.1823,0.7794
2025-01-18,0.5161,0.1899,0.3507,1.8273,0.4795,0.7139
2025-01-20,0.4930,0.1988,0.3364,2.6353,0.4465,0.6970
2025-01-28,,,,,,
2025-02-17,0.4522,0.2708,0.3117,2.1202,0.3736,0.6088
2025-03-19,,,,,,
2025-03-24,0.6005,0.2680,0.4287,2.2243,0.5417,0.6251
2025-03-26,0.5905,0.2405,0.3885,1.9513,0.5379,0.6617
2025-04-07,0.5415,0.2426,0.3704,2.2867,0.4818,0.6480
2025-04-08,0.5817,0.2552,0.3850,2.0509,0.5241,0.6354
2025-04-10,0.5487,0.2426,0.3747,2.0433,0.5002,0.6456
2025-04-10,0.5482,0.2250,0.3741,2.2930,0.4971,0.6719
2025-04-13,0.6115,0.2978,0.4379,2.1304,0.5544,0.5774
2025-04-15,0.5440,0.2128,0.3416,1.3650,0.5133,0.6830
2025-04-18,0.6030,0.2484,0.3879,1.8305,0.5475,0.6441
2025-04-20,0.5792,0.2282,0.3803,1.9446,0.5240,0.6702
2025-04-27,0.5406,0.2083,0.3432,2.0815,0.4797,0.6903
2025-05-05,0.5424,0.2127,0.2946,1.5082,0.4977,0.6777
2025-05-13,0.4458,0.1274,0.2791,1.4286,0.4550,0.8003
2025-05-20,0.4005,0.0620,0.2505,1.2860,0.4208,0.9197
2025-05-20,0.3969,0.0744,0.2524,1.2097,0.4212,0.8950
2025-05-25,0.4169,0.0958,0.2375,1.0954,0.4298,0.8740
2025-06-04,0.4117,0.1206,0.2423,2.2720,0.3721,0.8109
2025-06-12,0.4270,0.1369,0.2739,2.2047,0.3942,0.7847
2025-06-17,-0.0018,0.3944,-0.0326,0.0033,-0.0678,0.4343
2025-06-22,0.3345,0.1596,0.2264,-0.1496,0.2634,0.7440
2025-06-26,0.2013,0.0472,0.1308,-0.7566,0.1441,0.9214
2025-07-09,0.5873,0.1998,0.4110,3.0855,0.5043,0.6904
2025-07-12,0.6502,0.2429,0.4601,2.7868,0.5676,0.6363
2025-07-14,0.6388,0.2037,0.4156,2.3685,0.5585,0.6888
2025-07-16,0.6108,0.1982,0.4276,2.8703,0.5336,0.6917
2025-07-17,0.5965,0.2313,0.4124,3.8339,0.5132,0.6467
2025-07-22,0.2705,0.1796,0.1969,-1.4076,0.2118,0.6982
2025-07-27,0.6507,0.2548,0.4479,2.3270,0.5714,0.6263
2025-07-29,0.6549,0.2257,0.4579,2.3508,0.5798,0.7000
2025-08-01,0.6501,0.2643,0.4726,2.8594,0.5748,0.6183
2025-08-03,0.3784,0.1714,0.2594,1.1190,0.3167,0.7334
2025-08-05,0.6374,0.2433,0.4490,2.3103,0.5657,0.6386
2025-08-08,,,,,,
2025-08-13,0.5709,0.2294,0.3805,1.7529,0.5039,0.6569
2025-08-18,,,,,,
2025-08-21,,,,,,
2025-09-07,0.0959,0.0959,0.0411,-0.1337,0.0467,0.8294
2025-09-14,0.2224,0.1469,0.1302,-0.8762,0.1505,0.7588
2025-09-15,0.3071,0.2143,0.2129,-6.6682,0.2102,0.6616
2025-09-25,0.4668,0.1551,0.2718,1.4723,0.4129,0.7632
