date,temperature_2m_max,temperature_2m_min,precipitation_sum,shortwave_radiation_sum,wind_speed_10m_max,relative_humidity_2m_mean
2024-12-01,16.600,5.500,0.000,10.950,8.500,78
2024-12-02,15.800,5.100,0.000,9.000,12.600,82
2024-12-03,16.900,9.500,0.000,7.760,9.300,78
2024-12-04,13.900,10.000,0.000,3.830,9.400,79
2024-12-05,13.400,8.900,0.000,5.860,9.500,65
2024-12-06,13.600,8.400,0.000,7.130,11.700,70
2024-12-07,11.200,7.800,0.300,4.250,15.600,70
2024-12-08,9.000,6.200,2.400,3.460,13.400,82
2024-12-09,8.400,5.400,2.500,3.720,16.800,85
2024-12-10,9.400,4.900,0.100,4.860,10.500,75
2024-12-11,12.000,1.100,0.000,11.010,9.000,71
2024-12-12,9.000,5.900,0.300,3.370,12.400,76
2024-12-13,6.500,4.300,0.100,2.740,10.600,61
2024-12-14,10.200,2.100,0.000,10.990,8.900,55
2024-12-15,10.900,0.200,0.000,10.980,11.100,67
2024-12-16,11.600,0.400,0.000,10.970,7.100,76
2024-12-17,11.900,1.600,0.000,10.380,6.900,84
2024-12-18,10.800,-0.300,0.700,8.570,9.800,87
2024-12-19,10.500,3.500,0.000,6.250,9.800,85
2024-12-20,10.700,5.700,0.200,6.590,10.900,82
2024-12-21,9.100,4.600,2.300,3.830,6.500,89
2024-12-22,7.800,5.100,2.800,2.840,10.800,87
2024-12-23,8.300,5.000,0.600,2.450,13.000,87
2024-12-24,10.200,4.200,0.800,8.540,12.800,77
2024-12-25,9.200,4.400,0.000,4.720,8.300,73
2024-12-26,12.300,2.600,0.000,10.640,6.500,79
2024-12-27,8.700,4.100,1.100,3.170,14.700,77
2024-12-28,10.700,4.500,0.000,8.000,8.100,64
2024-12-29,7.100,5.100,0.000,2.390,13.900,68
2024-12-30,13.900,4.500,0.000,11.150,6.800,65
2024-12-31,13.700,3.600,0.000,11.010,5.600,68
2025-01-01,12.500,0.800,0.000,9.630,8.400,79
2025-01-02,15.000,1.800,0.000,9.730,8.300,73
2025-01-03,14.100,1.100,0.000,10.870,15.500,76
2025-01-04,14.200,4.500,0.100,8.300,11.900,74
2025-01-05,12.400,0.400,0.000,10.950,12.700,79
2025-01-06,12.900,1.200,0.000,9.690,10.100,79
2025-01-07,8.100,6.100,1.000,2.270,12.100,78
2025-01-08,11.200,5.000,0.300,7.600,8.300,71
2025-01-09,11.600,0.800,0.100,9.190,7.600,79
2025-01-10,8.700,5.300,3.900,3.420,11.700,89
2025-01-11,11.500,3.100,0.700,11.430,13.100,71
